Sr. No.,College Name,University Name,District,Taluka,Exclusively in Womens Colleges,"College Types","(Report no 5)
Whether Minority Institution (Yes/No)","Linguistic/
Religious_Type",JD Region,Correspondence Address,Email,Contact Phone 1,Contact Phone 2,Mobile,Principal Name,College Type
23,Dinkarrao K. Shinde College of Education Gadhinglaj,Shivaji University Kolhapur,Kolhapur,Gadhinglaj,Co-Education,Rural,No,Select,Kolhapur,D.K.Shinde college of Education Gadhinglaj MalMaruti Kadgoan Road Gadhinglaj Dist-Kolhapur,principal@dksg.co.in,02327-278063,02327-278063,919423801175,Dr. Raykar Shivaji Maruti,Non-Aided
24,K.M.AGRAWAL COLLEGE Of ArtsCommerce & Science KALYAN (W),Mumbai University Mumbai,Thane,Kalyan,Co-Education,Urban,Yes,Linguistic,Panvel,Agrawal College Road Gandhare Kalyan (w)- 421 301 District: Thane Maharashtra,kmagrawalcollege@yahoo.co.in,0251-2970297/2970123,0251-2315959,9820981698,Dr. Mrs. Anita Manna,Aided
25,College of Home Science Nirmala Niketan,Mumbai University Mumbai,Mumbai City,Mumbai City,Girls,Urban,Yes,Religious,Mumbai,College of Home Science Nirmala Niketan 49 New Marine lines Mumbai 400 020,office@nnchsc.edu.in,022-22076503,022-22076503,9820699146,Dr. (Ms) Anuradha J Bakshi,Aided
26,Mahatma Gandhi Prashaskiya Seva Mahavidyalaya Dudha Ta. Dist. Buldhana-443106,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Buldhana,Buldhana,Co-Education,Rural,No,Select,Amravati,At Post Dudha Dist-Buldhana,ganeshkad86@gmail.com,-9823661134,-9823661134,9823661134,Prof Dhanve S G,Non-Aided
27,ABHINAV EDUCATION SOCIETY'S COLLEGE OF COMPUTER SCIENCE & MANAGEMENT,Savitribai Phule Pune University Pune,Pune,Haveli,Co-Education,Rural,No,Select,Pune,S.No.13 Dehu Road Bypass Narhe-Ambegaon Pune411046-,abhinavbcsbcabba@gmail.com,9579401385,020-32401385,8888861734,MR.KANDEKAR SANJAY NANASAHEB,Non-Aided
28,Late. Adv. Shri Niwasji Dagduraoji Deshmukh College of Computer & Management Science.,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Jalna,Bhokardan,Co-Education,Urban,No,Select,Aurangabad,Late Adv S D Deshmukh College BhokardanLate Adv S D Deshmukh College Bhokardan,principal.sddeshmukh@gmail.com,02485-240066,02485-240066,9420742225,Dr. D S FOLANE,Non-Aided
29,Gramin Vikas Shikshan SansthaSant Dasganu Arts Commerce and Science CollegeAkolenagar Ahmednagar,Savitribai Phule Pune University Pune,Ahmednagar,Ahmednagar,Co-Education,Rural,No,Select,Pune,At Post Akolner Tal Nagar Dist Ahmednagar 414005,santdasganucollege@gmail.com,0241-2595900,0241-2595900,8668609378,Dr. Manisha Vijay Jadhav,Non-Aided
30,Late ramesh warpudkar college sonpeth,Swami Ramanand Teerth Marathwada University Nanded,Parbhani,Sonpeth,Co-Education,Rural,No,Select,Nanded,Rajebhau Kadam Nagar Parli Road Sonpeth Dist.Parbhani Rajebhau Kadam Nagar Parli Road Sonpeth Dist.P,lrwcsonpeth@gmail.com,2453240142,02453-240142 9423779000,9423779000,Dr.Satpute Vasant Devidasrao,Aided
31,JYOTIBA COLL.OF PHY.EDU.NAGPUR,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Hingana,Co-Education,Rural,Yes,Linguistic,Nagpur,DIGDOH NEAR CRPF CAMPUS HINGNA ROAD NAGPUR 440019,vbdatarkar@rediffmail.com,7104236348,-9860168374,9860168374,Dr. V.B.Datarkar,Non-Aided
32,Jijau Memorial Prashaskiya Seva Mahavidyalay Tal-Lohara Dist- Osmanabad,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Osmanabad,Lohara,Co-Education,Rural,No,Select,Aurangabad,gore complex  hiparaga roadTa.Loharadist.Osmanabad,jijaumemorial@gmail.com,91-7767098714,91-7767098714,9028480506,Dr.Sangita Patil,Non-Aided
33,Vidya Bhavan College of Commerce,Savitribai Phule Pune University Pune,Pune,Haveli,Co-Education,Urban,Yes,Religious,Pune,20Sholapur Road Bhairobanalla Pune20 Sholapur Road Bhairobanalla Pune,vbhavan148@gmail.com,020-29802990,-9922763089,9049005477,Dr. Saroj Hiremath,Aided
34,ARTS And COMMERCE COLLEGE Tumsar,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Bhandara,Tumsar,Co-Education,Urban,No,Select,Nagpur,Old Court  Durga Nagar Tumsar th- tumsar Dist - Bhandara 441912,sitmr2008@gmail.com,7183232417,-9422129467,9422129467,Proff. Devendrakumar K. Rambhad,Non-Aided
35,Dattatray Govindrao Walasepatil CollegePargaon Tarfe Awasari Bk,Savitribai Phule Pune University Pune,Pune,Ambegaon,Co-Education,Rural,No,Select,Pune,A/P- Pargaon tarfe Awasari BK (Dattatraynagar)A/P- Pargaon tarfe Awasari BK (Dattatraynagar),bsskeducation@gmail.com,02133-284382,02133-284382,9764268436,Dr.Thorat Shatrughna Dattatray,Non-Aided
36,Janki Mahavidyalay Ahmadpur,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Latur,Ahmadpur,Co-Education,Urban,No,Select,Nanded,ambejogai roadnear waki river yashwant college buliding ahmadpur,jankicollegeahmadpur@gmail.com,-9421352603,-9421352603,7620977588,shital pradip khomane,Non-Aided
37,Amolakchand Vidhi Mahavidyalaya,Sant Gadge Baba Amravati University Amravati,Yavatmal,Yavatmal,Co-Education,Tribal,No,Select,Amravati,Godhani RoadYavatmal,avmv_ytl@rediffmail.com,07232-256234,07232-256234,9860508068,Dr. Suprabha P. Yadgirwar,Aided
38,Bhaskar Waman Thakur College of ScienceYashvant Keshav Patil College of CommerceVidhya Dayanand Pa,Mumbai University Mumbai,Palghar,Vasai-Virar,Co-Education,Urban,No,Select,Panvel,Vishnu Waman Thakur Charitable Trust's Bhaskar Waman Thakur College of Science Yashva,mahendrakajare@vivacollege.org,0250-2515275/76/77,0250-2515275,9503054200,Dr. V.S.Adigal,Non-Aided
39,Late Shobhatai Manikrao Deshmukh Mahavidyalaya Sultanpur,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Akola,Akot,Co-Education,Rural,No,Select,Amravati,At-Sultnapur Post-Mundgaon Tq-Akot DIst-AkolaAt-Sultnapur Post-Mundgaon Tq-Akot DIst-Akola,bacivilservice2019@gmail.com,-9822402613,-9822402613,9763116420,Ganesh Digambar Dongre,Non-Aided
40,INDIRA GANDHI KALA VANIJYA AND VIDNYAN MAHAVIDYALAYA,Gondwana University Gadchiroli,Chandrapur,Rajura,Co-Education,Rural,No,Select,Nagpur,At. virur station tal.rajura,indiraraj12@gmail.com,07173-255104,07173-255104,,Shri Ramesh Mahadev Paipare,Non-Aided
41,Foresight College of Commerce,Savitribai Phule Pune University Pune,Pune,Pune City,Co-Education,Urban,Yes,Religious,Pune,382 YMCA Complex Quarter Gate New Rasta Peth Nana Peth Pune-411011,info@dpss.co.in,020-26062020,020-30526300,9764445481,DR. M.D LAWRENCE,Non-Aided
42,JAI PERSAPEN SCIENCE COLLEGE,Gondwana University Gadchiroli,Gadchiroli,Bhamragad,Co-Education,Tribal,Yes,Religious,Nagpur,AT.Post.Tah. Bhamragad Dist. Gadchiroli AT.Post.Tah. Bhamragad Dist. Gadchiroli,smpathan33@gmail.com,9422154580,-9422154580,9422150668,Sunilkumar Bhardwaj Incharge Principal,Non-Aided
43,K.R.A. Arts. Science & Commerce College Deola,Savitribai Phule Pune University Pune,Nashik,Deola,Co-Education,Rural,No,Select,Pune,DEOLA DEOLA-SATANA ROAD TAL DEOLA DIST.NASHIK,krahercollege@yahoo.co.in,02592-228251,02592-228251,9423255451,HITENDRA RAMRAO AHER,Aided
44,Mahatma Phule EducationalCultural And Sports MandalChatrpati Shivaji Maharaj College,Savitribai Phule Pune University Pune,Ahmednagar,Jamkhed,Co-Education,Rural,No,Select,Pune,A-One Corner Kharda Road JamkhedA-One Corner Kharda Road Jamkhed,bedjamkhed@gmail.com,2421221968,-9503236500,9890071999,Dr Shirsat Meenakshi Keshavrao,Non-Aided
45,MSVM New College of Education,Savitribai Phule Pune University Pune,Nashik,Nashik,Co-Education,Urban,No,Select,Pune,BHOR TOWNSHIP CHUNCHALE SHIVAR SATPUR AMBAD LINK ROAD NASHIK 422010,principal.msvm@gmail.com,0253-2384230,0253-2384230,9860525277,Smt. P.V. Tile,Non-Aided
46,Doodhsakhar Mahavidyalaya Bidri,Shivaji University Kolhapur,Kolhapur,Kagal,Co-Education,Rural,No,Select,Kolhapur,AT POST- BIDRI (MOUNINAGAR) TAL - KAGAL DIST- KOLHAPUR (M.S.) PIN - 416208,dmbidri@gmail.com,02325-254822,02325-254822,7588257822,Dr Sanjay Dashrath Patil,Aided
47,Bhagwanrao Prashaskiya Mahavidyalaya Kurha Tal. Tiosa Dist. Amravati,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Amravati,Tiosa,Co-Education,Rural,No,Select,Amravati,Chenusta road  kurhaNear petrol pump,s.manware@rediffmail.com,,-9423609977,9423609977,Dr.Rajani Bhakare,Non-Aided
48,Laxmi Mahavidyalay Shirpur (Hore) Tal- Deoli Dist- Wardha 442101,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Wardha,Deoli,Co-Education,Rural,No,Select,Nagpur,Shirpur (Hore) Ta. Deoli Dist Wardha 442101,laxmi.mahavidyalaya@gmail.com,9860855213,-9860855213,9860855213,Jitendra N. Mahalle,Non-Aided
49,Chhatrapati Shivaji Night College of Arts and Commerce Solapur,Punyashlok Ahilyadevi Holkar Solapur University Solapur,Solapur,North Solapur,Co-Education,Urban,No,Select,Solapur,101-B Murarji peth Solapur-413001101-B  Murarji peth Solapur-413001,csnc_123@yahoo.co.in,0217-2620933,0217-2620933,9822684170,Dr.Anil Nagnath Barbole,Aided
50,R.B.Madkholkar College CHANDGAD Tal- Chandgad Dist-Kolhapur,Shivaji University Kolhapur,Kolhapur,Chandgad,Co-Education,Rural,No,Select,Kolhapur,At/Post/Tal- Chandgad Dist- Kolhapur-416509,rbmcollegechand@gmail.com,2320224661,02320-224661,9423052437,Dr. Pandurang Ramchandra Patil,Aided
51,RAFI AHAMAD KIDWAI COLLEGE OF ART AND COMMERCE,Gondwana University Gadchiroli,Chandrapur,Chandrapur,Co-Education,Urban,Yes,Religious,Nagpur,guthkala wradchandrapur,ra.quidwaicollege@gmail.com,07172-250092,-9503287979,7038395337,Niyaz Qureshi,Non-Aided
52,MAHATMA FULEY DR. BABASAHEB AMBEDKAR COLLEGE,Gondwana University Gadchiroli,Chandrapur,Nagbhid,Co-Education,Rural,Yes,Religious,Nagpur,at.po.mindalatah.nagbhiddist.chandrapurat.po.mindalatah.nagbhiddist.chandrapur,mfdbacmcollege@gmail.com,7179256080,07179256-07769896016,7769896016,Prin Dr.Baburao M.Karade,Non-Aided
53,Gurukrupa College of Education & Research S.S.P.M. Educational,Mumbai University Mumbai,Thane,Kalyan,Co-Education,Urban,Yes,Religious,Panvel,S.S.P.M's Educational ComplexOpp. Gouripada TalaoMilind NagarKalyan (w) Dist- Thane,gurukrupa.sspm@gmail.com,2512231554,-9987071952,9372358687,Dr. Kolhe V.N.,Non-Aided
54,Rajmata Jijau Mahavidylaya Kingaon (Raja) Tal-Sindhakhed-Raja Dist- Buldhana Pin-443203,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Buldhana,Sindkhed Raja,Co-Education,Rural,No,Select,Amravati,Kingaon Raja Ta Sindkhed Raja Dist Buldhana 443203,jijaucollegekraja@gmail.com,-,-,9158224663,Vinod Chintaman Pasarate,Non-Aided
55,Seva Foundation Hitkarni College of Commerce Mankhurd Mumbai-400 043,Mumbai University Mumbai,Mumbai Suburban,Kurla,Co-Education,Urban,No,Select,Mumbai,Hitkarni College of Commerce Lallubhai CompoundA Wing School Building Mankhurd,hitkarnicollegeofcommerce@gmail.com,91-9137680919,91-9137680919,9987919992,Prakash Puna Charhate,Non-Aided
56,Parubai Vighne Varishth Mahavidyalay Anandgaon Tal- Shirur Kasar,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Beed,Shirur,Co-Education,Rural,No,Select,Aurangabad,ANANDGAON TAL SHIRUR KASAR DIST BEED PIN 413249,bhagwansai2021@gmail.com,-8421442233,-8421442233,9130442233,KATHALE YUVRAJ S,Non-Aided
57,Sant Dnyaneshwar Mahavidyalaya Soegaon,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Soyagaon,Co-Education,Rural,No,Select,Aurangabad,Soegaon Tq.Soegaon Dist.AurangabadSoegaon Tq.Soegaon Dist.Aurangabad,ganesh_agnihotri@rediffmail.com,2438297117,-9421404711,9423701930,Dr.Ganesh M. Agnihotri,Aided
58,Shri Ganesh Shikshan Mandal's Radha Mahavidyalay Reshimbag Nagpur,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Nagpur Urban,Co-Education,Urban,No,Select,Nagpur,Great Nag Road Opp.ofSuresh Bhatt hallReshimbag Nagpur 440009,radhasgsm@yahoo.com,0712-2735990,0712-6544361,9423100101,DR.Vasant Ukinkar,Non-Aided
59,Kannada Sangha's Kaveri College of Science and Commerce,Savitribai Phule Pune University Pune,Pune,Haveli,Co-Education,Urban,Yes,Linguistic,Pune,36 SHRI G M SHETTY EDUCATIONAL COMPLEX GANESH NAGAR ERANDWANE PUNE - 411038,kaveri.college@gmail.com,020-25456328,020-25456328,9422771777,Dr. Ashok Motilal Agrawal,Non-Aided
60,Dnyandip Prashaskiya Mahavidyalaya Chaugan Tal- Brahmapuri Dist - Chandrapur Pin-441206,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Chandrapur,Brahmapuri,Co-Education,Rural,No,Select,Nagpur,At Post Chaugan Tal-Bramhapuri Dist-Chandrapur,inspire9764@gmail.com,9764373398,-9764373398,9764373398,SUMEDH G. WALADE,Non-Aided
61,N.S.S.R's Arts & Commerce College,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Beed,Parli Vaijnath,Co-Education,Urban,No,Select,Aurangabad,Basweshwar Colony Behind Old Power House Parli Vaijnath Dist. Beed Pin 431515,navganparli@rediffmail.com,02446-223311,02446-223311,9823567335,Capt.Dr.Rajpange Madhukar Ganpatrao,Aided
62,Vivek Vardhini Adhyapika Mahavidyalaya Nanded,Swami Ramanand Teerth Marathwada University Nanded,Nanded,Nanded,Girls,Urban,No,Select,Nanded,8-C Industrial Estat Shivaji NagarNear MCN Swiming Tank,vvbed_nanded@rediffmail.com,02462-250021,02462-250021,7588570991,Shri Potjale Govind Vitthlrao,Non-Aided
63,Pal Shikshan Sanstha's St Paul College Ulhasnagar Thane,Mumbai University Mumbai,Thane,Ulhasnagar,Co-Education,Rural,Yes,Linguistic,Panvel,Behind VTC Ground Near Ganapati MandirAshelepada,stpaulcollege1@gmail.com,0251-2580396,0251-2580396,9970023164,Dr. Antony Lawrence,Non-Aided
64,ADV. VITTHALRAO BANPURKAR MOMORIAL KALA AND VANIJYA MAHAVIDYALAYA,Gondwana University Gadchiroli,Gadchiroli,Kurkheda,Co-Education,Tribal,No,Select,Nagpur,AT.PO.MALEWADA TA.KURKHEDA DIST.GADCHIROLI,hirauikey@gmail.com,7139277000,-9404520740,-9404520740,Dr.H.M.Kamdi,Aided
65,Hirwal Education Trust's Hirwal Night College Mumbai-Goa Highway At Post-MahadDist.-Raigad-402403,Mumbai University Mumbai,Raigad,Mahad,Co-Education,Rural,No,Select,Panvel,Mumbai-Goa Highway Behind Dharia Petrol pump at- ChambharkhindMahad-Raigad 402301same as above,hetrmmahad@gmail.com,02145-222057,02145-222057,9764105162,Mr. Rakesh Suresh Wadvalkar,Non-Aided
66,Raja Shri Shivray Pratishthan Maharashtra College of Science and Commerce,Savitribai Phule Pune University Pune,Pune,Pune City,Co-Education,Urban,No,Select,Pune,Baburao Sutar Path Rambaug ColonyKothrudPune.,rsspmcsc@gmail.com,020-25444363,020-25444363,,Mrs.Poonam Abhay Lahurikar,Non-Aided
67,Swami Vivekanand College of Education Udgir,Swami Ramanand Teerth Marathwada University Nanded,Latur,Udgir,Co-Education,Urban,No,Select,Nanded,Swami Vivekanand Campus Survey No. 184 Bhodhan Nagar Jalkot Raod Udgir Tq. Udgir Dist. Latur-4,svcoedu380@gmail.com,02385-253970,02385-253970,9822108625,Dr. Gopal Ramrao Pawar,Non-Aided
68,Priyadarshini Mahavidhyalaya Rampur,Gondwana University Gadchiroli,Chandrapur,Rajura,Co-Education,Rural,No,Select,Nagpur,RampurRampur,manojpawade121@gmail.com,7173202232,-9623494904,9822708251,Manoj Pawade,Non-Aided
69,Kholeshwar Mahavidyalaya Ambajogai,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Beed,Ambajogai,Co-Education,Urban,No,Select,Aurangabad,THE PRINCIPAL KHOLESHWAR MAHAVIDYALAYAPARLI ROADAMBAJOGAI PIN CODE:- 431517,principalkma@gmail.com,02446-247018,02446-247018,9405357260,Dr.Mukund Arvindrao Devarshi,Aided
70,Defence Career Academy Senior College Shahapur Banjar Khojewadi,Smt. Nathibai Damodar Thakersey Women's University Mumbai,Aurangabad,Gangapur,Girls,Rural,No,Select,Aurangabad,DEFENCE CAREER ACADEMY SENIOR COLLEGE SHAHAPUR BANJAR KHOJEWADI POST ASEGAON TQ GANGAPUR DIST AUR,dcasr477@gmail.com,91-9225300527,91-9225300527,9225300527,URMILA KEDAR RAHANE,Non-Aided
71,Sarvodaya College MulIn Gogulwar BuildingChandrapur,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Chandrapur,Mul,Co-Education,Rural,Yes,Religious,Nagpur,In Gogulwar Building Mul Near Ganesh Mandir Tadala Road Mul,sarvodayacollegemul@gmail.com,-7083334393,-7083334393,7083334393,Shri Dinesh V. Somankar,Non-Aided
72,Mohini Murari Shikshan Sanstha’s Mohini Murari Mayekar Arts & Commerce College,Mumbai University Mumbai,Ratnagiri,Ratnagiri,Co-Education,Rural,No,Religious,Panvel,AT/POST-CHAFE TAL/DIST-RATNAGIRI-415620,mmmacc.chafe@gmail.com,02357-251497/98,91-9765168668,9421822265,Mrs.Sneha Subhash Palaye,Non-Aided
73,Narayanrao Chavan Law CollegeNanded,Swami Ramanand Teerth Marathwada University Nanded,Nanded,Nanded,Co-Education,Urban,No,Select,Nanded,V.I.P. Road Baba Nagar Nanded,nclcnanded@yahoo.com,02462-254869 253771,02462-254869 253771,9422185717,Dr. V.S. Khakare,Aided
74,Govt. of Maharashtra's Vasantrao Naik Institute of Arts & Social Sciences Nagpur,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Nagpur Urban,Co-Education,Urban,No,Select,Nagpur,Pt. Jawaharlal Neharu Road R B I SquareCivil Line,directorvngiass@rediffmail.com,0712-2565658,0712-2565658,9922981007,Dr. Sadhana Shiledar,Govt.
75,VASUNDHARA KALA MAHAVIDYALAYA JULE SOLAPUR,Punyashlok Ahilyadevi Holkar Solapur University Solapur,Solapur,Solapur South,Co-Education,Urban,No,Select,Solapur,22 Mahda Shahu Marag Jule Solapur,vkmjulesolapur@gmail.com,0217-2992191,0217-2305175,9604114858,Dr. Meena D. Gaikwad,Aided
76,Dr. Ghali College Gadhinglaj,Shivaji University Kolhapur,Kolhapur,Gadhinglaj,Co-Education,Rural,No,Select,Kolhapur,Dr. Ghali College Jagarutinagar BhadgaonRoad Gadhinglaj. Dist-Kolhapur (MH) Pin 416502,drghalicollege@gmail.com,02327-222119,02327-222119,9421112626,Dr. Patil Mangalkumar Raoso,Aided
